Div,Date,HomeTeam,AwayTeam,FTHG,FTAG
F1,04/08/2023,Toulouse,Clermont,2,0
F1,04/08/2023,Monaco,Nice,2,2
F1,04/08/2023,Metz,Clermont,1,4
F1,05/08/2023,Lens,Nice,2,1
F1,05/08/2023,Nantes,Clermont,4,0
F1,05/08/2023,Strasbourg,Toulouse,1,3
F1,06/08/2023,Rennes,Metz,3,0
F1,06/08/2023,Clermont,Nice,0,5
F1,06/08/2023,Nantes,Montpellier,5,0
F1,11/08/2023,Metz,Nice,2,0
F1,11/08/2023,Lille,Lyon,2,0
F1,11/08/2023,Lorient,Monaco,1,4
F1,12/08/2023,Nantes,Lorient,1,3
F1,12/08/2023,Monaco,Reims,2,1
F1,12/08/2023,Toulouse,Lille,2,0
F1,13/08/2023,Lyon,Lens,1,2
F1,13/08/2023,Metz,Lyon,1,1
F1,13/08/2023,Paris SG,Brest,2,0
F1,18/08/2023,Brest,Metz,1,0
F1,18/08/2023,Rennes,Montpellier,2,2
F1,18/08/2023,Rennes,Toulouse,5,2
F1,19/08/2023,Le Havre,Metz,1,1
F1,19/08/2023,Marseille,Lyon,3,2
F1,19/08/2023,Brest,Marseille,2,3
F1,20/08/2023,Metz,Brest,1,1
F1,20/08/2023,Paris SG,Lens,1,3
F1,20/08/2023,Marseille,Monaco,2,2
F1,25/08/2023,Toulouse,Montpellier,1,0
F1,25/08/2023,Lyon,Paris SG,0,3
F1,25/08/2023,Lyon,Rennes,2,2
F1,26/08/2023,Lyon,Nantes,1,0
F1,26/08/2023,Toulouse,Paris SG,1,0
F1,26/08/2023,Montpellier,Paris SG,1,1
F1,27/08/2023,Monaco,Lille,1,0
F1,27/08/2023,Lorient,Marseille,1,1
F1,27/08/2023,Nantes,Monaco,4,10
F1,01/09/2023,Lorient,Reims,2,3
F1,01/09/2023,Reims,Lyon,0,0
F1,01/09/2023,Lyon,Metz,4,0
F1,02/09/2023,Brest,Toulouse,5,2
F1,02/09/2023,Brest,Strasbourg,0,2
F1,02/09/2023,Rennes,Strasbourg,1,2
F1,03/09/2023,Toulouse,Brest,4,0
F1,03/09/2023,Lille,Montpellier,2,1
F1,03/09/2023,Nice,Reims,4,1
F1,08/09/2023,Rennes,Lille,0,2
F1,08/09/2023,Marseille,Rennes,2,2
F1,08/09/2023,Brest,Paris SG,1,0
F1,09/09/2023,Lille,Clermont,1,1
F1,09/09/2023,Toulouse,Reims,1,1
F1,09/09/2023,Nantes,Paris SG,2,5
F1,10/09/2023,Strasbourg,Lille,0,1
F1,10/09/2023,Monaco,Rennes,6,1
F1,10/09/2023,Marseille,Clermont,2,0
F1,15/09/2023,Paris SG,Lille,1,0
F1,15/09/2023,Le Havre,Montpellier,2,2
F1,15/09/2023,Nice,Lille,1,4
F1,16/09/2023,Paris SG,Nantes,2,1
F1,16/09/2023,Reims,Nice,2,4
F1,16/09/2023,Clermont,Reims,2,2
F1,17/09/2023,Le Havre,Nice,0,2
F1,17/09/2023,Strasbourg,Lyon,2,3
F1,17/09/2023,Le Havre,Reims,0,4
F1,22/09/2023,Reims,Marseille,1,2
F1,22/09/2023,Metz,Montpellier,0,0
F1,22/09/2023,Paris SG,Lyon,4,0
F1,23/09/2023,Lens,Montpellier,2,0
F1,23/09/2023,Clermont,Strasbourg,3,3
F1,23/09/2023,Metz,Rennes,0,0
F1,24/09/2023,Nice,Brest,2,3
F1,24/09/2023,Lyon,Montpellier,4,1
F1,24/09/2023,Brest,Lyon,2,0
F1,29/09/2023,Paris SG,Toulouse,2,2
F1,29/09/2023,Nice,Nantes,2,1
F1,29/09/2023,Brest,Montpellier,1,1
F1,30/09/2023,Lyon,Clermont,1,0
F1,30/09/2023,Clermont,Lorient,1,4
F1,30/09/2023,Brest,Rennes,0,1
F1,01/10/2023,Paris SG,Le Havre,4,1
F1,01/10/2023,Reims,Clermont,3,0
F1,01/10/2023,Lille,Metz,4,2
F1,06/10/2023,Nice,Clermont,3,1
F1,06/10/2023,Paris SG,Rennes,1,1
F1,06/10/2023,Lyon,Marseille,1,1
F1,07/10/2023,Nice,Le Havre,2,0
F1,07/10/2023,Nice,Lorient,2,0
F1,07/10/2023,Le Havre,Nantes,1,1
F1,08/10/2023,Brest,Nantes,1,1
